기업명,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
아이텍(2020/12),456.0,28.0,28.0,-60.0,-52.0,-52.0,,1464.0,676.0,788.0,788.0,,72.0,151.0,-91.0,486.0,44.0,107.0,360.0,6.12,-11.52,-8.15,-4.35,85.82,992.88,-453.0,,5477.0,1.57,0.0,0.0,0.0,14387896.0
아이텍(2021/12),647.0,32.0,32.0,-71.0,-81.0,-78.0,-3.0,1481.0,398.0,1083.0,1083.0,0.0,94.0,84.0,-117.0,-68.0,56.0,27.0,262.0,4.94,-12.56,-8.33,-5.52,36.75,1077.15,-494.0,,5840.0,1.59,0.0,0.0,0.0,18896166.0
아이텍(2022/12),767.0,7.0,7.0,282.0,217.0,222.0,-5.0,1790.0,373.0,1417.0,1403.0,14.0,100.0,112.0,-211.0,-75.0,89.0,22.0,180.0,0.94,28.26,17.84,13.24,26.32,1326.86,1141.0,5.86,7113.0,0.94,0.0,0.0,0.0,20073756.0
아이텍(2023/12),522.0,-73.0,-73.0,-84.0,-105.0,-74.0,-31.0,2206.0,732.0,1475.0,1439.0,35.0,107.0,-59.0,15.0,271.0,105.0,-164.0,421.0,-13.98,-20.18,-5.21,-5.27,49.61,1262.43,-350.0,,6760.0,1.06,0.0,0.0,0.0,21434297.0
아이텍(2024/12),620.0,-49.0,-49.0,26.0,200.0,210.0,-10.0,2296.0,612.0,1685.0,1647.0,38.0,107.0,128.0,217.0,28.0,117.0,10.0,363.0,-7.86,32.29,13.63,8.89,36.3,1456.04,982.0,5.39,7736.0,0.68,0.0,0.0,,21434297.0
아이텍(2025/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아이텍(2026/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아이텍(2027/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
파두(2020/12),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,23400000.0
파두(2021/12),52.0,-337.0,-337.0,-433.0,-433.0,-433.0,,272.0,1879.0,-1607.0,-1607.0,,2.0,-252.0,-48.0,284.0,44.0,-297.0,829.0,-653.0,-840.45,,,-116.94,-109762.41,-1764.0,,-6499.0,0.0,0.0,,0.0,24058880.0
파두(2022/12),564.0,15.0,15.0,-2275.0,-2275.0,-2275.0,,683.0,272.0,410.0,410.0,,41.0,-65.0,-176.0,269.0,122.0,-187.0,191.0,2.67,-403.29,380.21,-476.44,66.4,761.44,-7308.0,,996.0,0.0,0.0,,0.0,41196256.0
