기업명_그룹,매출액,영업이익,당기순이익,자산총계,자본총계,자본금,영업활동현금흐름,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,EPS(원),PER(배),BPS(원),PBR(배),발행주식수(보통주)
LX인터내셔널,160030.15,5625.45,4022.65,77735.2,29053.9,1938.0,6480.85,22953.85,3.3885000000000005,2.4555,14.279,5.762,169.68850000000003,6896.35,5.495,61677.85,0.4835,38760000.0
NAVER,88360.3,15472.85,35166.3,339196.9,232794.5,165.0,19199.05,42851.7,17.7575,47.428999999999995,21.6595,12.999,49.826499999999996,21715.4,27.095,148787.7,1.8895,161976770.15
NH투자증권,107084.5,8288.75,6022.25,586434.05,73885.75,17314.9,-1686.3,151839.2,7.828,5.700999999999999,8.605500000000001,1.0385,701.4860000000001,1818.1,6.935499999999999,21790.55,0.5235,320193325.9
OCI,17941.636363636364,864.0909090909091,654.2727272727273,21084.545454545456,10827.363636363636,413.45454545454544,1377.1818181818182,6707.0,4.749090909090909,3.4909090909090907,5.790231508071422,3.0119914856884793,97.05727272727273,9232.272727272728,9.872727272727273,128389.72727272728,0.6527272727272728,8263510.454545454
OCI홀딩스,29762.75,3990.2,4599.4,65656.95,39137.95,1160.85,3615.95,17842.0,13.763500000000002,15.757499999999999,13.077000000000002,7.4895,68.86999999999999,20925.3,4.5589550431159775,173592.65,0.5375,21423601.6
PI첨단소재,2565.35,373.0,294.8,4988.75,3255.7,147.0,563.9,1176.3,13.550999999999998,10.6645,9.467,6.3709999999999996,53.233000000000004,1003.9,-108.524,11086.35,2.7785,29366322.0
POSCO홀딩스,752673.95,41309.65,27160.35,975684.1,579907.7,4824.0,65858.75,253221.55,5.417,3.5509999999999997,5.073500000000001,2.9835000000000003,68.1865,29455.2,15.575999999999999,695079.3,0.46849999999999997,84641075.35
S-Oil,342145.3,13575.75,7273.45,210250.95,81812.3,2915.0,17866.85,63872.8,3.4135,1.7779999999999998,9.4505,3.8044999999999995,158.017,6237.45,-6.792158613603701,70273.25,1.0284999999999997,112582792.0
SK,1186850.6,40066.35,16953.25,1937091.45,729366.55,160.3,86934.7,789564.35,3.2735,1.5134999999999998,0.05150000000000006,1.0225000000000002,165.32850000000002,-562.6,6.464102439232048,396978.85,0.47850000000000004,73038688.0
SKC,19533.85,-188.0,-1643.45,65289.6,23011.6,1893.0,-719.4,32898.45,-3.3629999999999995,-11.0305,-13.469,-2.2294999999999994,183.8285,-4719.6,-1.6164088789929303,44274.0,2.4635,37868298.0
SK네트웍스,87611.1,1205.05,531.6,80135.75,22279.5,6487.0,1025.0,41450.2,1.3765,0.5705,2.3145000000000002,0.6180000000000001,256.683,206.5,-465.7241666666667,10360.1,0.45500000000000007,237012378.0
SK바이오사이언스,5384.416666666667,1518.8333333333333,1389.0,20133.25,16908.5,383.5,1046.9166666666667,729.0,19.80583333333333,21.010833333333334,12.401952737746646,9.018073750719765,19.235833333333336,1860.25,130.21916666666667,22034.833333333332,5.121666666666667,76731244.5
SK바이오팜,5046.0,958.6666666666666,1729.3333333333333,9057.666666666666,5307.333333333333,392.0,323.0,1282.3333333333333,19.286666666666665,32.79666666666667,43.92333333333333,20.973333333333333,68.72333333333333,2325.3333333333335,63.22333333333333,6540.666666666667,16.333333333333332,78313250.0
SK스퀘어,39393.07692307692,19076.46153846154,18474.615384615383,221604.84615384616,182100.84615384616,141.0,2169.076923076923,13094.692307692309,38.05076923076923,37.638461538461534,10.989571962984481,9.167147090313119,22.37923076923077,16909.384615384617,7.910769230769231,129762.76923076923,0.4692307692307693,138367135.15384614
SK아이이테크놀로지,6316.125,647.625,871.5,37465.625,23383.875,713.0,1193.375,11741.875,10.370000000000001,13.84,4.32625,2.73625,59.721250000000005,1242.375,88.01125,32797.125,3.48125,71297592.0
SK이노베이션,678316.05,11313.15,-3353.8,780932.3,285370.85,5740.45,23038.0,313001.4,1.2884999999999998,-0.75,-1.9755000000000003,-0.2899999999999999,171.571,-4253.3,24.38551930370728,198017.1,0.781,113126281.85
SK케미칼,17574.0,1521.85,1227.55,42442.8,26015.25,955.05,735.3,10641.8,8.2115,7.197999999999999,7.139,3.9675,66.2995,5166.25,43.4575,104998.45,1.1505,17344032.75
SK텔레콤,173663.65,16406.8,14050.65,323734.45,133263.05,319.1,51317.35,112652.95,9.42,8.1415,9.939000000000002,4.1594999999999995,147.717,5224.8,10.1775,54914.45,0.9490000000000001,236109757.8
SK하이닉스,466133.55,88323.0,60213.55,1033827.75,627283.35,36577.0,171655.2,248805.75,13.6895,7.850500000000001,9.604499999999998,6.0245,65.298,8269.65,7.2953435727410705,91160.7,1.4785,728002365.0
TCC스틸,5912.95,192.55,140.4,4993.55,2136.0,253.15,50.0,2042.2,3.1064999999999996,2.336,7.9990000000000006,3.261,135.408,577.6,-44.13932059886422,8226.65,3.0685,25369737.15
TKG휴켐스,10553.25,1014.9,908.9,10428.0,7973.85,409.0,1098.1,553.25,10.0485,8.7485,11.552518143961926,8.78547212876239,30.6025,2217.0,10.2035,20598.8,1.0155,40878588.0
iM금융지주,71743.0,4995.95,3743.5,904655.4,62401.35,8457.0,6737.8,142105.75,7.4885,5.5975,6.406000000000001,0.429,1349.7490000000003,2088.05,4.2415,34139.5,0.2375,169145833.0
강원랜드,11954.8,1487.7,2162.35,42941.7,35802.85,1070.0,2806.55,603.2,4.495499999999999,11.5975,5.8790000000000004,4.8275,19.822000000000003,1010.8,-62.10556767625591,17726.35,1.114,213940500.0
고려아연,105405.85,8200.2,5305.95,122133.55,84042.9,1009.35,6530.1,20136.25,7.9704999999999995,5.2625,6.4875,5.0104999999999995,47.185,26852.7,43.4975,429015.3,1.5505,20128263.5
금호석유화학,70724.65,8362.9,7734.9,77605.5,54843.75,1675.0,7532.65,9094.15,11.248000000000001,10.482999999999999,16.680500000000002,10.989500000000001,42.6965,23580.5,6.866,205435.65,0.653,28791303.95
금호타이어,36891.0,2772.75,1138.55,47915.4,14791.35,14363.0,2807.6,21360.05,6.3085,2.1585,6.871,2.1550000000000002,229.99899999999997,355.45,-2.401313214745964,4700.2,0.9495000000000001,287260287.0
기아,908947.1,91152.3,70715.55,788024.6,444863.2,21393.0,101064.3,61451.05,9.553,7.45,16.4595,9.148,79.55699999999999,17564.0,6.0215000000000005,112057.3,0.7705,402226346.5
기업은행,268680.05,33629.5,25187.05,4358824.3,307190.1,42085.8,-102947.25,2107616.55,12.888,9.652000000000001,8.531,0.5984999999999999,1321.663,3156.1,3.72,38303.95,0.304,783580925.8
넷마블,25838.6,756.65,-1811.15,86411.35,55024.95,86.0,379.6,19079.25,2.9259999999999993,-6.779000000000001,-2.7115,-1.8204999999999996,56.7445,-1776.6,56.15470397834929,65564.35,1.1205,85942682.1
녹십자,16339.6,505.75,256.3,25735.5,14944.95,584.0,289.15,6921.6,3.1055,1.6744999999999997,2.1735,1.2144999999999997,72.3125,2150.7,-24.130978171567058,111234.85,1.6954999999999998,11686538.0
녹십자홀딩스,20398.85,270.9,274.05,36026.65,18733.9,266.0,16.95,11430.1,1.4594999999999998,1.6190000000000004,2.8485,0.9120000000000001,92.458,517.35,16.96229277218664,21950.35,0.9600000000000002,47028210.0
농심,31735.1,1563.4,1431.95,32024.25,24100.6,304.0,2430.25,1142.85,4.8985,4.4995,6.1594999999999995,4.6175,32.797,23545.4,15.8185,415221.7,0.8765000000000001,6082642.0
대상,39520.45,1524.15,970.5,32079.85,13319.65,360.0,1527.45,13019.5,3.9095,2.5355,7.7475,3.2384999999999997,140.4885,2667.2,8.486,36363.7,0.6005,34648025.0
대우건설,102633.2,6051.3,4058.1,113356.95,38107.85,20781.0,-3750.1,29140.95,5.9935,3.9730000000000003,11.47,3.7474999999999996,200.173,962.45,4.6579999999999995,9226.4,0.475,415622638.0
